age	work	perm	tempo	trans00	trans01	trans02	trans10	trans11	trans12	trans20	trans21	trans22	lrearns	rearns	lentryrearns01	lentryrearns02	lentryrearns11	lentryrearns12	lentryrearns21	lentryrearns22	lexitrearns10	lexitrearns11	lexitrearns12	lexitrearns20	lexitrearns21	lexitrearns22	entry_y01	entry_y02	entry_y11	entry_y12	entry_y21	entry_y22	exit_y10	exit_y11	exit_y12	exit_y20	exit_y21	exit_y22	y	Vlrearns	Vrearns	VlentryearnsUP	VlentryearnsTP	VlentryearnsUT	VlentryearnsPT	VlexitearnsPU	VlexitearnsTU
22	.5114523	.1603314	.3511209										8.739078	7973.237							8.621569	9.083622	8.883338	8.416528	8.801365	8.715912							-.1331775	.3196436	.1337592	-.3163563	.0424475	-.0028982	.0032331	.4260035	5.83e+07					.3100289	.2152254
23	.6058263	.2245999	.3812264	.5789871	.1111111	.3099017	.0921053	.8190789	.0888158	.1996753	.1290584	.6712663	8.929239	9820.879	8.809995	8.557714	9.387052	9.063655	9.331903	8.999508	8.7821	9.255112	8.976571	8.456504	9.054939	8.843361	-.1494783	-.3885245	.3955455	.0754963	.3374829	.0512098	-.2022575	.2601177	.0029456	-.5010297	.0881099	-.1085595	-.0301457	.4916771	7.25e+07	.3501907	.5455986	.3104163	.6471321	.3842001	.2913872
24	.7006775	.3066396	.3940379	.494	.1706667	.3353333	.0588752	.85413	.0869947	.1576271	.1632768	.679096	9.147545	12074.29	9.130686	8.69798	9.610144	9.337311	9.498249	9.170597	8.976007	9.451449	9.131997	8.618265	9.150486	9.02051	-.0557576	-.445973	.4151112	.1626176	.3222299	.0193186	-.2461022	.2499241	-.0580029	-.5482474	-.048312	-.1318644	-.0219091	.5171531	7.99e+07	.4492947	.4053951	.348507	.4239675	.4657288	.3900761
25	.7785853	.3618589	.4167264	.4328063	.1811594	.3860343	.0461838	.8813807	.0724356	.1301483	.1746293	.6952224	9.349224	14605.01	9.138535	8.848168	9.781509	9.403163	9.674503	9.364056	9.207779	9.642596	9.239968	8.75293	9.338467	9.225396	-.213975	-.4663172	.4060018	.0326491	.2941942	.0396238	-.1850016	.2538471	-.1118671	-.5737922	-.0243053	-.1131533	-.0001447	.5279951	9.94e+07	.54202	.4011661	.4382577	.4161223	.4419902	.4416049
26	.8391805	.4209987	.4181818	.3590939	.218521	.4223851	.0342444	.9019793	.0637763	.0966785	.1708185	.7325029	9.528242	17201.47	9.258443	8.934525	9.89559	9.450973	9.791636	9.529773	9.271583	9.807574	9.392266	8.899444	9.479855	9.386548	-.2612621	-.5403192	.3576222	-.0504997	.2736032	.0429999	-.2597698	.2585821	-.1298842	-.5986647	-.0581675	-.1098384	.0153851	.5131556	1.20e+08	.439188	.3456599	.411932	.4431793	.446556	.4574278
27	.8754798	.4839829	.3914969	.3409629	.2209945	.4380426	.0284307	.9250056	.0465637	.0909314	.1830882	.7259804	9.657246	19350.24	9.321159	8.945159	9.9779	9.528646	9.815014	9.633963	9.458151	9.919608	9.50514	9.083229	9.492759	9.503098	-.3222776	-.6549171	.3007851	-.1243053	.1417321	.0103644	-.2121164	.230997	-.1510146	-.5425943	-.16763	-.1338917	.0034599	.4983847	1.40e+08	.4175655	.3449838	.4657219	.4310237	.4289261	.4745362
28	.8994387	.5292664	.3701724	.3377193	.2394737	.422807	.029327	.9232073	.0474657	.0752978	.171724	.7529782	9.789784	21794.31	9.402656	9.04168	10.05718	9.626412	9.871549	9.720446	9.51893	10.02599	9.548341	9.133758	9.656549	9.627966	-.3774275	-.6886138	.2594644	-.1419475	.096032	-.0247174	-.2830065	.2154324	-.2348945	-.6153003	-.1392485	-.1302357	.0118113	.4698421	1.73e+08	.429595	.3715111	.4593593	.4763683	.5447034	.4538435
29	.9167645	.5725762	.3441883	.3005181	.2466321	.4528497	.02585	.9313009	.0428491	.0803742	.1641505	.7554752	9.889122	23938.27	9.430629	9.006903	10.12748	9.627376	9.985944	9.782074	9.616619	10.12127	9.713197	9.176707	9.671126	9.69905	-.4294941	-.8219132	.2247752	-.2536144	.0899455	-.0672169	-.3003173	.2057185	-.1830132	-.67793	-.2245022	-.1632275	.0036534	.4632413	1.97e+08	.4282281	.3698031	.4497781	.4701644	.3762793	.5165075
30	.9257414	.6106552	.3150862	.3118932	.2524272	.4356796	.0259445	.9363941	.0376614	.0731707	.1595879	.7672414	9.981931	26118.23	9.426443	9.093705	10.19125	9.751377	9.97054	9.843782	9.627779	10.1879	9.751941	9.246665	9.827558	9.787189	-.5321691	-.8304017	.1985211	-.221638	-.0105838	-.0938294	-.3741193	.1817335	-.2304868	-.7065781	-.1644769	-.1642593	.0048058	.4458383	2.37e+08	.500892	.4230048	.495247	.5696704	.4160376	.4824339
31	.9284588	.6390266	.2894322	.3550369	.2088452	.4361179	.0253623	.9418159	.0328218	.0731386	.1484735	.7783879	10.05437	28123.71	9.569961	9.026797	10.24383	9.676701	10.02144	9.893456	9.672446	10.25758	9.836254	9.221128	9.837805	9.854117	-.4904715	-.9832662	.1736939	-.3719085	-.0414986	-.1192679	-.392745	.172895	-.2368796	-.828032	-.2195141	-.1750121	-.0023465	.4500928	2.77e+08	.4191036	.4195307	.5327197	.5087396	.394075	.5656903
