age	lp5	lp10	lp25	lp50	lp75	lp90	lp95
22	7.898951	7.976901	8.192236	8.610696	9.193212	9.665577	9.943683
23	7.938143	8.041172	8.34284	8.861488	9.455943	9.909883	10.14354
24	7.995167	8.131877	8.557769	9.161332	9.735165	10.07568	10.27624
25	8.043221	8.252772	8.793477	9.468796	9.918674	10.21803	10.37121
26	8.158771	8.42041	9.03392	9.669121	10.07651	10.33439	10.49235
27	8.238139	8.559608	9.228365	9.804515	10.17827	10.43053	10.58055
28	8.377061	8.738769	9.437757	9.930711	10.27139	10.52235	10.6819
29	8.46074	8.876683	9.567044	10.02527	10.35489	10.61569	10.77238
30	8.577996	9.047625	9.664119	10.10116	10.42158	10.69945	10.87576
31	8.662874	9.126328	9.741298	10.16829	10.48676	10.77383	10.96633
32	8.800906	9.272346	9.808279	10.22998	10.55514	10.85323	11.03896
33	8.877803	9.31503	9.856643	10.27133	10.59872	10.90764	11.1034
34	8.916567	9.366845	9.889865	10.30587	10.63933	10.95827	11.15243
35	8.971502	9.413558	9.922466	10.33835	10.68473	11.0053	11.1981
36	8.992039	9.439334	9.95085	10.3665	10.72568	11.05586	11.25626
37	9.041187	9.493982	9.984422	10.39404	10.7555	11.08895	11.29814
38	9.035658	9.515047	10.00884	10.42547	10.79325	11.12871	11.33976
39	9.024037	9.489203	10.01273	10.44552	10.82172	11.15684	11.36682
40	9.114838	9.563432	10.05161	10.4663	10.85892	11.19591	11.41228
41	9.108488	9.558043	10.05977	10.49368	10.89492	11.22708	11.44218
42	9.11176	9.577365	10.09064	10.51902	10.92712	11.27308	11.49249
43	9.157601	9.611404	10.11439	10.54934	10.95501	11.29336	11.4953
44	9.114665	9.618385	10.13783	10.57121	10.96948	11.31557	11.54414
45	9.084938	9.61226	10.15818	10.59584	10.99685	11.33792	11.57005
46	9.148303	9.647648	10.18343	10.61417	11.01772	11.34616	11.57175
47	9.191761	9.681502	10.22343	10.63953	11.03818	11.35856	11.57066
48	9.188435	9.665125	10.22926	10.66785	11.06555	11.39393	11.6175
49	9.194033	9.675154	10.26184	10.69639	11.08182	11.39681	11.60593
50	9.235527	9.724432	10.29943	10.71601	11.10533	11.41	11.64718
51	9.212763	9.68986	10.30465	10.72099	11.1104	11.41744	11.63853
52	9.248484	9.746452	10.31595	10.73182	11.11275	11.42619	11.64409
53	9.306085	9.756582	10.33915	10.7462	11.11972	11.42587	11.64934
54	9.300037	9.78207	10.36543	10.75594	11.12484	11.4343	11.65983
55	9.291664	9.792706	10.35914	10.76847	11.12395	11.43133	11.645
56	9.271844	9.753998	10.36455	10.77418	11.13436	11.44452	11.67101
57	9.304341	9.808681	10.38693	10.78808	11.13896	11.4522	11.68037
58	9.286913	9.774204	10.38369	10.7788	11.13756	11.44571	11.68152
59	9.220275	9.74418	10.39547	10.77489	11.14384	11.44752	11.65869
60	9.2833	9.73735	10.39107	10.77435	11.16915	11.49208	11.70895
